
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\util,21,3381,1773,1340,256,760,0,848,5256,340,2700
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\util\cache,1,172,87,75,7,42,0,43,295,17,135
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\velocity,17,4279,2456,1859,386,727,27,1096,6962,263,2607
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\velocity\deprecated,10,3551,2124,1598,346,565,27,862,5486,156,1785
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\util,46,6319,3432,2467,498,1053,11,1834,14130,698,7476
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\util\cache,12,1424,616,491,62,343,0,465,3227,187,1485
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\util\rome,10,495,256,191,20,63,0,176,1018,159,979
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\webservices,44,7467,4707,3708,623,998,34,1762,10747,756,5756
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\webservices\adminapi,29,3774,2408,1911,356,547,1,819,5255,498,3724
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\webservices\adminapi\sdk,12,1651,979,769,147,259,0,413,2503,234,1692
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\webservices\atomprotocol,11,2385,1497,1164,190,244,23,644,3557,187,1485
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\webservices\xmlrpc,4,1308,802,633,77,207,10,299,1935,71,547
